"id","hhid","adm3","pack","variety_a","variety_b","variety_c","adm1","gender","age","elevation","lon","lat","planting_date","harverst_date","irrigation","fertilization","slope","vigor_best","vigor_worst","size_best","size_worst","pest_resistance_best","pest_resistance_worst","disease_resistance_best","disease_resistance_worst","drought_resistance_best","drought_resistance_worst","yield_best","yield_worst","market_value_best","market_value_worst","taste_best","taste_worst","overall_best","overall_worst","local_vs_var_a","local_vs_var_b","local_vs_var_c"
"honduras_salvador_rojo_2015_165",31925,"Chilin de Argueta","paquete 91","Amadeus 77","RS 907-28","SRS2-36-34","Masahuat","M",33,NA,NA,NA,"2015-09-23","2015-12-06","No","Yes","medium","A","C","A","C","A","C","A","C",NA,NA,"A","B","A","B","B","A","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_166",32267,"Chilin de Argueta","paquete 100","ALS 0532-6","MHR 311-17","RS 907-28","Masahuat","M",31,NA,NA,NA,"2015-09-27","2015-12-08","No","Yes","medium","B","C","B","C",NA,NA,"B","C",NA,NA,"B","A","B","A","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_167",32069,"Chilin de Argueta","paquete 93","SJC 730-79","MHR 311-17","Seda","Masahuat","M",29,NA,NA,NA,"2015-09-26","2015-12-09","No","Yes","plain","C","A","C","A",NA,NA,NA,NA,"C","B","A","C","A","C","A","C","A","B","Better","Worse","Better"
"honduras_salvador_rojo_2015_168",31943,"Chilin de Argueta","paquete 92","RRH 336-28","RS 909-35","BRT 103- 182","Masahuat","M",40,NA,NA,NA,"2015-09-27","2015-12-18","No","Yes","medium","B","C","A","C",NA,NA,NA,NA,NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_169",32096,"Chilin de Argueta","paquete 96","BRT 103- 182","Seda","MHR 311-17","Masahuat","M",35,NA,NA,NA,"2015-10-02","2015-12-27","No","Yes","plain","C","B","C","B",NA,NA,NA,NA,"A","C","C","A","C","A","C","A","C","B","Worse","Worse","Better"
"honduras_salvador_rojo_2015_171",32348,"Chilin de Argueta","paquete 102","BRT 103- 182","Seda","SRS2-36-34","Masahuat","M",60,NA,NA,NA,"2015-10-20","2016-01-08","No","Yes","plain","A","B","A","B","A","C","A","C",NA,NA,"A","B","A","B","B","A","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_172",31646,"Carrizal","paquete 75","RRH 336-28","Amadeus 77","RS 907-28","Masahuat","M",23,NA,NA,NA,"2015-09-26","2015-12-22","No","Yes","medium","C","A","C","A","C","B","C","B",NA,NA,"C","A","C","A","C","A","C","B","Worse","Worse","Better"
"honduras_salvador_rojo_2015_173",31655,"Carrizal","paquete 76","MHR 311-17","RS 909-35","BRT 103- 182","Masahuat","M",20,NA,NA,NA,"2015-09-26","2015-12-16","No","Yes","medium","B","A","C","A","B","A","B","A",NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_175",31691,"Carrizal","paquete 78","SJC 730-79","RS 907-28","RRH 336-28","Masahuat","M",29,NA,NA,NA,"2015-09-26","2015-12-10","No","Yes","plain","C","A","C","A","C","A","C","A",NA,NA,"C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_177",31718,"Carrizal","paquete 80","ALS 0532-6","Seda","MHR 311-17","Masahuat","M",24,NA,NA,NA,"2015-09-25","2015-12-06","No","Yes","medium","B","A","B","A",NA,NA,"B","C",NA,NA,"B","A","B","A","B","A","B","C","Worse","Better","Worse"
"honduras_salvador_rojo_2015_178",31727,"Carrizal","paquete 81","SJC 730-79","RS 907-28","SRS2-36-34","Masahuat","M",40,NA,NA,NA,"2015-09-26",NA,"No","Yes","medium","B","C","B","C","B","A","B","A","C","B","C","B","C","B","C","B","C","A","Worse","Worse","Better"
"honduras_salvador_rojo_2015_181",31772,"Carrizal","paquete 84","ALS 0532-6","RS 907-28","SJC 730-79","Masahuat","M",36,NA,NA,NA,"2015-09-25","2015-12-08","No","Yes","medium","B","C","A","C","A","C","A","C",NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_182",31790,"Carrizal","paquete 85","BRT 103- 182","SRS2-36-34","RRH 336-28","Masahuat","M",33,NA,NA,NA,"2015-09-26","2015-12-02","No","Yes","plain","A","C","A","C",NA,NA,"B","A",NA,NA,"B","C","B","C","B","C","B","A","Worse","Better","Worse"
"honduras_salvador_rojo_2015_184",31817,"Carrizal","paquete 87","ALS 0532-6","Amadeus 77","SJC 730-79","Mansahuat","M",43,NA,NA,NA,"2015-09-25","2015-12-10","No","Yes","medium","A","B","A","B","B","A","B","A",NA,NA,"B","A","B","A","B","A","B","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_185",31826,"Carrizal","paquete 88","BRT 103- 182","SRS2-36-34","RS 907-28","Masahuat","M",26,NA,NA,NA,"2015-09-25","2015-12-09","No","Yes","plain","A","C","A","C",NA,NA,"A","C",NA,NA,"A","B","A","B","A","B","A","C","Better","Worse","Worse"
"honduras_salvador_rojo_2015_186",31862,"Carrizal","paquete 89","RS 909-35","Seda","RRH 336-28","Masahuat","M",46,NA,NA,NA,"2015-09-26","2015-12-22","No","Yes","medium","B","C","B","C",NA,NA,"A","B","A","B","A","C","B","C","A","C","A","B","Better","Worse","Worse"
