id,hhid,adm3,pack,variety_a,variety_b,variety_c,adm1,gender,age,elevation,lon,lat,planting_date,harverst_date,irrigation,fertilization,slope,char_1,best_1,worst_1,char_2,best_2,worst_2,char_3,best_3,worst_3,char_4,best_4,worst_4,char_5,best_5,worst_5,char_6,best_6,worst_6,char_7,best_7,worst_7,char_8,best_8,worst_8,char_9,best_9,worst_9,char_10,local_vs_var_a,local_vs_var_b,local_vs_var_c
honduras_salvador_rojo_2015_105,30593,San Ramon,paquete 8,SJC 730-79,RRH 336-28,ALS 0532-6,Citala,M,40,NA,-89.1706623,14.3169237,2015-09-16,2015-12-08,No,Yes,high,vigor,B,A,size,B,A,pest_resistance,B,A,disease_resistance,NA,A,drought_resistance,NA,NA,yield,B,C,market_value,B,C,taste,B,C,overall,B,A,overall_vs_local,Worse,Better,Worse
honduras_salvador_rojo_2015_106,29072,Los Gutierrez,paquete 31,RRH 336-28,SJC 730-79,Seda,Dulce Nombre de Maria,M,44,NA,-89.1707777,14.3167015,2015-09-28,2015-12-23,No,Yes,plain,vigor,B,C,size,B,C,pest_resistance,B,C,disease_resistance,B,C,drought_resistance,NA,NA,yield,B,A,market_value,B,A,taste,A,C,overall,B,C,overall_vs_local,Worse,Better,Worse
honduras_salvador_rojo_2015_107,29090,Los Gutierrez,paquete 32,SRS2-36-34,BRT 103- 182,MHR 311-17,Dulce Nombre de Maria,F,37,NA,-89.1707915,14.3166787,2015-09-17,2015-12-07,No,No,plain,vigor,C,A,size,C,A,pest_resistance,A,C,disease_resistance,C,B,drought_resistance,NA,NA,yield,A,C,market_value,A,C,taste,NA,NA,overall,A,C,overall_vs_local,Better,Better,Worse
honduras_salvador_rojo_2015_111,23294,Sensenti,paquete 122,MHR 311-17,RRH 336-28,SRS2-36-34,Sensenti,M,53,NA,-88.93878937,14.49418705,2015-09-30,2015-12-16,No,Yes,plain,vigor,A,C,size,A,C,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
honduras_salvador_rojo_2015_112,23339,Sensenti,paquete 123,ALS 0532-6,Seda,BRT 103- 182,Sensenti,M,43,NA,-88.938205,14.4931028,2015-09-12,2015-12-02,No,Yes,plain,vigor,B,A,size,B,A,pest_resistance,NA,NA,disease_resistance,B,C,drought_resistance,NA,NA,yield,C,A,market_value,C,B,taste,C,B,overall,C,B,overall_vs_local,Worse,Worse,Better
honduras_salvador_rojo_2015_113,23375,Sensenti,paquete 126,SRS2-36-34,BRT 103- 182,ALS 0532-6,Sensenti,M,30,NA,-88.93896103,14.49767717,2015-09-25,2015-12-09,No,Yes,plain,vigor,C,A,size,C,A,pest_resistance,NA,NA,disease_resistance,A,C,drought_resistance,A,C,yield,A,C,market_value,A,C,taste,A,C,overall,A,C,overall_vs_local,Better,Worse,Worse
honduras_salvador_rojo_2015_114,23483,Sensenti,paquete 131,SJC 730-79,RS 907-28,RS 909-35,Sensenti,M,38,NA,-88.94119263,14.49318986,2015-09-14,2015-12-01,No,Yes,medium,vigor,B,A,size,B,A,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,B,C,market_value,B,C,taste,B,C,overall,B,C,overall_vs_local,Worse,Better,Worse
honduras_salvador_rojo_2015_115,23492,Sensenti,paquete 132,ALS 0532-6,SRS2-36-34,RRH 336-28,Sensenti,M,60,NA,-88.93861771,14.49717859,2015-10-03,2015-12-28,No,Yes,plain,vigor,A,B,size,A,B,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,A,B,market_value,B,A,taste,B,A,overall,A,C,overall_vs_local,Better,Better,Worse
honduras_salvador_rojo_2015_118,23465,Sensenti,paquete 130,Seda,Amadeus 77,BRT 103- 182,Sensenti,M,46,NA,-88.93758774,14.49518423,2015-10-05,2015-12-23,No,Yes,plain,vigor,A,C,size,A,C,pest_resistance,A,B,disease_resistance,A,B,drought_resistance,NA,NA,yield,A,B,market_value,C,A,taste,B,C,overall,A,B,overall_vs_local,Better,Worse,Worse
honduras_salvador_rojo_2015_121,23438,Sensenti,paquete 128,RS 909-35,RS 907-28,RRH 336-28,Sensenti,M,48,NA,-88.93690109,14.49618141,2015-10-03,2016-03-29,No,Yes,plain,vigor,C,A,size,C,A,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,B,A,market_value,B,C,taste,B,A,overall,B,A,overall_vs_local,Worse,Better,Worse
honduras_salvador_rojo_2015_122,23537,Sensenti,paquete 134,Seda,RS 907-28,SJC 730-79,Sensenti,M,48,NA,-88.93844604,14.49584902,2015-10-03,2015-12-28,No,Yes,plain,vigor,B,A,size,B,A,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,B,A,market_value,B,C,taste,B,C,overall,B,C,overall_vs_local,Worse,Better,Worse
honduras_salvador_rojo_2015_123,99056,El Moral,paquete 210,Seda,RS 907-28,ALS 0532-6,Sinuapa Ocotepeque,M,53,NA,-89.22409058,14.45994763,2015-09-08,2015-12-16,No,Yes,plain,vigor,C,B,size,C,A,pest_resistance,NA,NA,disease_resistance,NA,NA,drought_resistance,NA,NA,yield,B,A,market_value,NA,A,taste,C,A,overall,C,A,overall_vs_local,Worse,Better,Better
